"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.408614793E0,-1.329999976E-2,-5.579999685E-1,1.948899984E0,2.027252329E0
1.418614793E0,-1.744099975E0,-1.078499913E0,1.663999915E0,2.640822315E0
1.428614793E0,-1.555699944E0,-9.117999673E-1,4.955999851E-1,1.870080438E0
1.438614793E0,-1.176199913E0,-5.425999761E-1,9.898999929E-1,1.630264692E0
1.448614793E0,-2.687999904E-1,-2.736999989E-1,7.518000007E-1,8.440191735E-1
1.458614793E0,-1.104599953E0,-3.296999931E-1,6.626999974E-1,1.329667036E0
1.468614793E0,-2.539199829E0,-9.088000059E-1,9.023999572E-1,2.843902056E0
1.478614793E0,-2.565799952E0,-7.786999941E-1,1.909599900E0,3.291849761E0
1.488614793E0,-2.319599867E0,-1.878999919E-1,2.631199837E0,3.512700177E0
1.498614793E0,-1.394099951E0,2.621999979E-1,1.236500025E0,1.881806532E0
1.508614793E0,-6.991999745E-1,7.472999692E-1,-5.672000051E-1,1.170065679E0
1.518614793E0,-7.951999903E-1,1.265200019E0,-2.592099905E0,2.991998668E0
1.528614793E0,-6.316999793E-1,1.177500010E0,-1.551899910E0,2.047912221E0
1.538614793E0,-1.177600026E0,7.066999674E-1,1.920000017E-1,1.386733812E0
1.548614793E0,-1.977699995E0,-3.021999896E-1,2.509999871E-1,2.016339033E0
1.558614793E0,-1.955599904E0,-1.197299957E0,-7.121999860E-1,2.401067886E0
1.568613230E0,-1.725199938E0,-1.251500010E0,-1.062099934E0,2.381307072E0
1.578614793E0,-1.333799958E0,-6.857999563E-1,-5.570999980E-1,1.599907596E0
1.588613230E0,-7.196999788E-1,2.088999897E-1,3.734999895E-1,8.373228215E-1
1.598613230E0,4.319999740E-2,9.099999666E-1,8.496999741E-1,1.245775351E0
1.608613230E0,7.752999663E-1,1.382399917E0,1.130200028E0,1.946656537E0
1.618614793E0,8.017999530E-1,1.327899933E0,6.284999847E-1,1.673682654E0
1.628613230E0,-1.219999976E-2,7.925999761E-1,-1.921999902E-1,8.156619387E-1
1.638614793E0,-5.393999815E-1,2.950000018E-2,-6.627999544E-1,8.550592784E-1
1.648613230E0,-6.114999652E-1,-3.480000049E-2,-4.922999740E-1,7.858132805E-1
1.658613230E0,-5.601999760E-1,3.175999820E-1,1.169999968E-2,6.440734831E-1
1.668613230E0,3.299999833E-1,1.380599976E0,4.328999817E-1,1.484034594E0
1.678613230E0,5.379999876E-1,6.992999911E-1,8.015999794E-1,1.192068367E0
1.688613230E0,5.514999628E-1,-3.574999869E-1,3.360999823E-1,7.381880842E-1
1.698614793E0,1.446099997E0,-1.017300010E0,2.100999951E-1,1.780518609E0
1.708614793E0,1.670399904E0,-9.422000051E-1,5.525999665E-1,1.995831509E0
1.718614793E0,1.554299951E0,-4.799999893E-1,3.513999879E-1,1.664250666E0
1.728614793E0,6.818999648E-1,-6.229999661E-2,-3.858999908E-1,7.859946911E-1
1.738614793E0,-9.997999668E-1,6.467999816E-1,-5.715999603E-1,1.320862107E0
1.748614793E0,-1.849499941E0,1.176599979E0,-4.190999866E-1,2.231744237E0
1.758614793E0,-1.812699914E0,1.276099920E0,4.518999755E-1,2.262415871E0
1.768614793E0,-6.024999619E-1,6.811000109E-1,7.648999691E-1,1.188265707E0
1.778614793E0,5.335999727E-1,-1.198999956E-1,8.033999801E-1,9.718829496E-1
1.788614793E0,1.753899932E0,-7.881000042E-1,1.928200006E0,2.723090497E0
1.798614793E0,3.116899967E0,-1.350899935E0,3.512199879E0,4.886260741E0
1.808614793E0,3.005100012E0,-1.692799926E0,3.392899990E0,4.838178171E0
1.818614793E0,1.186100006E0,-1.910499930E0,2.031699896E0,3.030618365E0
1.828614793E0,-4.115999937E-1,-1.641199946E0,6.401000023E-1,1.809054955E0
1.838614793E0,-1.888599992E0,-1.030599952E0,-1.008000001E-1,2.153858591E0
1.848614793E0,-2.078299999E0,-2.999999821E-1,5.429999903E-2,2.100542636E0
1.858614793E0,-2.178799868E0,2.109999955E-2,9.405999780E-1,2.373255652E0
1.868613230E0,-2.072000027E0,-2.034999877E-1,1.320599914E0,2.465477740E0
1.878613230E0,-2.167099953E0,-8.836999536E-1,1.915899992E0,3.024552957E0
1.888613230E0,-1.892899990E0,-1.830299973E0,1.167199969E0,2.880177796E0
1.898613230E0,8.949999511E-2,-2.151000023E0,-1.094499946E0,2.415106929E0
1.908613230E0,1.478399992E0,-1.703499913E0,-2.523699999E0,3.384765897E0
1.918614793E0,1.979799986E0,-5.564000010E-1,-2.300600052E0,3.085765633E0
1.928614793E0,4.380999804E-1,-2.716000080E-1,-1.951799989E0,2.018717750E0
1.938614793E0,2.345999926E-1,-9.759999514E-1,-2.097300053E0,2.325140979E0
1.948614793E0,1.065599918E0,-1.604599953E0,-2.492499828E0,3.150047553E0
1.958614793E0,7.821999788E-1,-1.544999957E0,-2.236199856E0,2.828330156E0
1.968614793E0,-7.125999928E-1,-1.347800016E0,-1.276999950E0,1.988741438E0
1.978614793E0,-8.886999488E-1,-1.389500022E0,-7.462999821E-1,1.810376086E0
1.988614793E0,-1.076699972E0,-1.398100019E0,-8.150000125E-2,1.766524481E0
1.998614793E0,-1.504499912E0,-1.295799971E0,4.397999942E-1,2.033726035E0
2.008614793E0,-1.868499994E0,-9.846999645E-1,1.091199994E0,2.377318589E0
2.018614793E0,-2.203899860E0,-7.059999704E-1,1.630299926E0,2.830810555E0
2.028614793E0,-1.465999961E0,-6.493999958E-1,1.766399980E0,2.385591149E0
2.038614793E0,-2.459999919E-2,-5.727999806E-1,1.701200008E0,1.795212090E0
2.048614793E0,9.802999496E-1,-3.881999850E-1,1.585799932E0,1.904323671E0
2.058613230E0,1.698300004E0,-2.764999866E-1,1.676399946E0,2.402288893E0
2.068613230E0,1.908399940E0,-3.088999987E-1,2.219899893E0,2.943699216E0
2.078613230E0,1.741299987E0,-8.517999649E-1,3.314399958E0,3.839653097E0
2.088613230E0,1.040499926E0,-1.764799953E0,3.404199839E0,3.973126667E0
2.098613230E0,4.509999752E-1,-2.003200054E0,2.593600035E0,3.308016411E0
2.108613230E0,-2.465999871E-1,-1.472399950E0,1.408499956E0,2.052472970E0
2.118613230E0,-4.849999845E-1,-5.794000030E-1,4.794999957E-1,8.949020026E-1
2.128614793E0,-3.231000006E-1,1.424999982E-1,-4.294999838E-1,5.560306610E-1
2.138613230E0,-2.190000005E-2,1.401000023E-1,-5.321999788E-1,5.507671360E-1
2.148614793E0,1.599999964E-1,-1.916999966E-1,-9.849999845E-2,2.684234290E-1
2.158613230E0,4.806999862E-1,-3.416000009E-1,6.044999957E-1,8.445017952E-1
2.168613230E0,9.178999662E-1,-4.097999930E-1,1.201699972E0,1.566703292E0
2.178614793E0,7.875999808E-1,-7.299999595E-1,1.604900002E0,1.931040571E0
2.188614793E0,4.151999950E-1,-9.742999673E-1,1.334399939E0,1.703606368E0
2.198614793E0,2.705999911E-1,-8.199999928E-1,7.581999898E-1,1.149126437E0
2.208614793E0,2.460999936E-1,-3.154999912E-1,4.052000046E-1,5.694668515E-1
2.218614793E0,1.072999984E-1,2.171999961E-1,2.970999777E-1,3.833503942E-1
2.228614793E0,8.819999546E-2,4.916999936E-1,3.120999932E-1,5.890284617E-1
2.238614793E0,2.538999915E-1,4.909999967E-1,2.084999979E-1,5.907778360E-1
2.248614793E0,6.704999804E-1,4.827999771E-1,-4.380000010E-2,8.273962060E-1
2.258614793E0,6.722999811E-1,4.086999893E-1,1.131999940E-1,7.948818683E-1
2.268614793E0,-3.139999881E-2,1.071999967E-1,3.818999827E-1,3.979012390E-1
2.278614793E0,-5.184000134E-1,-2.660000026E-1,1.542000026E-1,6.027206784E-1
2.288614793E0,-7.404999733E-1,-2.917000055E-1,-2.599000037E-1,8.372437612E-1
2.298614793E0,-7.483999729E-1,-7.279999554E-2,-5.098999739E-1,9.085154606E-1
2.308614793E0,-1.972000003E-1,2.906999886E-1,-8.571999669E-1,9.263833476E-1
