"Time";"Trajectoire 1/0/X";"Trajectoire 1/0/Y"
"17,259";"-14,16263";"179,6331"
"17,292";"-14,98948";"179,6359"
"17,326";"-14,98587";"179,6307"
"17,359";"-14,98797";"178,8077"
"17,392";"-14,98545";"178,8114"
"17,426";"-14,9863";"178,8097"
"17,459";"-15,81248";"178,8144"
"17,492";"-15,81096";"178,8077"
"17,526";"-15,81567";"177,9812"
"17,559";"-15,81789";"177,9823"
"17,592";"-16,64611";"177,9921"
"17,625";"-16,64772";"177,997"
"17,659";"-17,47367";"178,8333"
"17,692";"-18,29763";"179,6731"
"17,725";"-19,94293";"181,3455"
"17,759";"-20,76398";"182,1879"
"17,792";"-21,58583";"183,0322"
"17,825";"-22,40964";"183,8751"
"17,859";"-23,23453";"184,7137"
"17,892";"-24,06004";"185,5305"
"17,925";"-24,89365";"185,5288"
"17,959";"-25,72603";"185,5277"
"17,992";"-26,55587";"185,5224"
"18,025";"-26,56096";"184,7079"
"18,059";"-26,55883";"184,7142"
"18,092";"-26,55573";"184,7089"
"18,125";"-26,55165";"184,6997"
"18,159";"-25,72351";"184,68"
"18,192";"-25,72565";"183,8634"
"18,225";"-24,89413";"183,8613"
"18,259";"-24,06566";"183,8418"
"18,292";"-23,2436";"183,0106"
"18,325";"-23,23772";"182,9977"
"18,358";"-22,41161";"182,1728"
"18,392";"-21,58082";"182,1746"
"18,425";"-19,9198";"182,1669"
"18,458";"-19,09052";"182,1672"
"18,492";"-20,74604";"183,004"
"18,525";"-20,74453";"183,0064"
"18,558";"-20,7349";"183,827"
"18,592";"-20,72679";"183,8236"
"18,625";"-19,89593";"183,8203"
"18,658";"-19,89272";"183,8295"
"18,692";"-19,88038";"184,6525"
"18,725";"-19,05228";"184,64"
"18,758";"-19,05041";"184,6339"
"18,792";"-19,04066";"184,6286"
"18,825";"-18,21145";"184,616"
"18,858";"-18,20985";"184,6106"
"18,892";"-18,20713";"184,6083"
"18,925";"-18,20083";"184,6061"
"18,958";"-18,19227";"184,6057"
"18,992";"-17,36002";"184,6023"
"19,025";"-17,35523";"184,6084"
"19,058";"-16,52629";"184,607"
"19,092";"-16,52602";"184,6181"
"19,125";"-16,51825";"185,4434"
"19,158";"-15,69251";"185,4375"
"19,191";"-15,68701";"186,2587"
"19,225";"-14,86206";"186,2552"
"19,258";"-14,84781";"187,0807"
"19,291";"-14,00457";"187,9002"
"19,325";"-12,34232";"188,7117"
"19,358";"-11,50051";"189,5358"
"19,391";"-9,831182";"190,3618"
"19,425";"-8,158757";"192,0054"
"19,458";"-6,497402";"192,8293"
"19,491";"-5,650403";"194,4803"
"19,525";"-3,988736";"195,3019"
"19,558";"-3,153721";"196,1327"
"19,591";"-2,316802";"196,9606"
"19,625";"-1,484354";"197,7776"
"19,658";"-1,483584";"197,7725"
"19,691";"-1,483288";"197,7682"
"19,725";"-1,487048";"197,764"
"19,758";"-1,494304";"197,7601"
"19,791";"-2,321962";"197,7669"
"19,825";"-2,326919";"197,7717"
"19,858";"-3,153809";"198,6004"
"19,891";"-3,985441";"198,6081"
"19,924";"-5,63481";"200,2785"
"19,958";"-6,455516";"201,1135"
"19,991";"-7,280245";"201,1318"
"20,024";"-7,275216";"201,9571"
"20,058";"-8,098443";"201,9569"
"20,091";"-8,098316";"201,9441"
"20,124";"-8,113439";"201,1215"
"20,158";"-8,94274";"201,1224"
"20,191";"-8,953625";"200,3004"
"20,224";"-9,779983";"200,305"
"20,258";"-9,78357";"200,2937"
"20,291";"-10,61368";"199,4735"
"20,324";"-10,60913";"199,4632"
"20,358";"-10,61547";"198,6381"
"20,391";"-10,61082";"198,627"
"20,424";"-9,795767";"197,8048"
"20,458";"-9,795843";"197,8144"
"20,491";"-8,974411";"197,8185"
"20,524";"-8,966768";"198,6377"
"20,558";"-8,959775";"198,6405"
"20,591";"-8,951133";"198,6529"
"20,624";"-8,938174";"199,4713"
"20,657";"-8,937104";"199,4591"
"20,691";"-9,761545";"199,4528"
"20,724";"-10,58604";"199,4498"
"20,757";"-11,41356";"199,4547"
"20,791";"-12,24726";"199,4637"
"20,824";"-13,90196";"199,4911"
"20,857";"-14,72218";"200,3233"
"20,891";"-14,72962";"200,3285"
"20,924";"-15,55423";"200,3424"
"20,957";"-15,54921";"200,349"
"20,991";"-15,54333";"200,3454"
"21,024";"-15,53711";"200,3342"
"21,057";"-15,53823";"199,5086"
"21,091";"-14,71474";"199,5007"
"21,124";"-14,72527";"198,6847"
"21,157";"-14,72208";"198,6871"
"21,191";"-13,89577";"198,6765"
"21,224";"-13,88986";"198,6679"
"21,257";"-13,05816";"198,6493"
"21,291";"-12,2315";"198,6315"
"21,324";"-11,4052";"198,6206"
"21,357";"-10,57972";"198,6097"
"21,39";"-10,57324";"198,6121"
"21,424";"-9,74196";"198,6113"
"21,457";"-9,734055";"198,6107"
"21,49";"-8,913866";"198,5953"
"21,524";"-9,757078";"197,7602"
"21,557";"-10,5948";"196,9328"
"21,59";"-11,42857";"196,1067"
"21,624";"-12,26558";"195,2867"
"21,657";"-13,10068";"195,275"
"21,69";"-14,76542";"194,4564"
"21,724";"-15,60554";"194,4615"
"21,757";"-17,26819";"195,295"
"21,79";"-19,7452";"196,9615"
"21,824";"-19,74402";"196,9533"
"21,857";"-25,51797";"201,9707"
"21,89";"-27,99858";"203,6431"
"21,924";"-30,47323";"205,317"
"21,957";"-32,12268";"206,987"
"21,99";"-33,77074";"208,6653"
"22,024";"-35,41454";"210,3339"
"22,057";"-36,24142";"211,1773"
"22,09";"-37,06693";"212,0238"
"22,123";"-37,06476";"212,8558"
"22,157";"-37,06719";"212,8635"
"22,19";"-37,06933";"212,8741"
"22,223";"-37,0705";"213,6951"
"22,257";"-37,90053";"213,6973"
"22,29";"-38,72174";"213,7078"
"22,323";"-38,71235";"214,5301"
"22,357";"-38,71148";"215,3518"
"22,39";"-39,53832";"216,1776"
"22,423";"-40,36475";"217,0039"
"22,457";"-41,1988";"217,0205"
"22,49";"-42,02502";"217,8502"
"22,523";"-42,85576";"217,8458"
"22,557";"-43,68562";"217,0286"
"22,59";"-43,67882";"217,017"
"22,623";"-43,67514";"216,1996"
"22,657";"-42,8599";"215,3687"
"22,69";"-42,86043";"214,5452"
"22,723";"-42,85158";"213,7079"
"22,757";"-42,02921";"212,8565"
"22,79";"-41,21555";"212,002"
"22,823";"-41,20882";"211,1597"
"22,856";"-40,37262";"210,3233"
"22,89";"-39,53783";"209,5052"
"22,923";"-38,69833";"209,4924"
"22,956";"-37,86879";"208,6744"
"22,99";"-37,04111";"208,6805"
"23,023";"-37,03405";"209,5004"
"23,056";"-37,02912";"209,5017"
"23,09";"-37,02185";"209,5198"
"23,123";"-37,0116";"210,3548"
"23,156";"-37,82233";"212,0091"
"23,19";"-38,63492";"212,8385"
"23,223";"-39,45289";"213,6726"
"23,256";"-40,27975";"214,5144"
"23,29";"-41,92628";"216,1755"
"23,323";"-43,57677";"217,0315"
"23,356";"-45,21851";"218,7012"
"23,39";"-46,85732";"220,3599"
"23,423";"-47,68161";"221,2036"
"23,456";"-48,50189";"222,8594"
"23,49";"-49,32696";"223,6966"
"23,523";"-50,144";"224,5341"
"23,556";"-50,13432";"225,357"
"23,59";"-49,31";"225,3577"
"23,623";"-49,30409";"225,3714"
"23,656";"-48,46624";"226,1816"
"23,689";"-48,46523";"226,1819"
"23,723";"-49,28172";"227,0048"
"23,756";"-49,28679";"227,0143"
"23,789";"-50,11318";"227,8519"
"23,823";"-50,93484";"228,6726"
"23,856";"-50,93881";"228,6639"
"23,889";"-51,77126";"228,6638"
"23,923";"-52,59653";"228,6553"
"23,956";"-52,60572";"227,8294"
"23,989";"-52,60801";"227,8129"
"24,023";"-52,61666";"226,981"
"24,056";"-52,62622";"226,1628"
"24,089";"-52,62895";"226,1648"
"24,123";"-52,63256";"226,1597"
"24,156";"-52,63627";"226,1528"
"24,189";"-52,63775";"226,1444"
"24,223";"-52,63451";"226,1307"
"24,256";"-52,63403";"225,3098"
"24,289";"-51,80735";"225,308"
"24,323";"-51,80915";"225,3109"
"24,356";"-51,80957";"225,3085"
"24,389";"-51,81233";"225,3066"
"24,422";"-51,81508";"225,3051"
"24,456";"-51,81904";"225,2974"
"24,489";"-52,6433";"225,2951"
"24,522";"-52,63805";"225,2854"
"24,556";"-52,63456";"225,2755"
"24,589";"-52,63488";"225,2663"
"24,622";"-52,6379";"225,2633"
