"Time";"Marqueur 1/0/X";"Marqueur 1/0/Y"
"23,957";"42";"116"
"23,99";"42";"116"
"24,023";"41";"116"
"24,057";"41";"116"
"24,09";"42";"117"
"24,123";"42";"117"
"24,157";"43";"118"
"24,19";"44";"119"
"24,223";"46";"120"
"24,257";"47";"121"
"24,29";"49";"122"
"24,323";"51";"123"
"24,357";"53";"125"
"24,39";"54";"126"
"24,423";"54";"126"
"24,457";"55";"127"
"24,49";"54";"127"
"24,523";"53";"126"
"24,557";"52";"125"
"24,59";"51";"125"
"24,623";"50";"124"
"24,656";"49";"123"
"24,69";"48";"123"
"24,723";"48";"123"
"24,756";"47";"123"
"24,79";"47";"123"
"24,823";"46,20239";"118,6721"
"24,856";"42,42099";"116,7814"
"24,89";"44,31161";"118,6721"
"24,923";"44,31171";"119,6721"
"24,956";"45,31161";"121,5627"
"24,99";"46";"122"
"25,023";"46";"123"
"25,056";"47";"123"
"25,09";"48";"124"
"25,123";"49";"125"
"25,156";"49";"125"
"25,19";"49";"125"
"25,223";"50";"126"
"25,256";"50";"126"
"25,29";"50";"127"
"25,323";"50";"127"
"25,356";"51";"127"
"25,39";"51";"127"
"25,423";"51";"128"
"25,456";"51";"128"
"25,489";"51";"127"
"25,523";"51";"127"
"25,556";"51";"127"
"25,589";"50";"127"
"25,623";"50";"127"
"25,656";"50";"127"
"25,689";"50";"127"
"25,723";"50";"127"
"25,756";"49";"127"
"25,789";"49";"127"
"25,823";"49";"127"
"25,856";"49";"127"
"25,889";"49";"127"
"25,923";"49";"127"
"25,956";"49";"128"
"25,989";"49";"128"
"26,023";"49";"128"
"26,056";"50";"128"
"26,089";"50";"128"
"26,123";"50";"129"
"26,156";"50";"129"
"26,189";"50";"130"
"26,223";"50";"131"
"26,256";"51";"132"
"26,289";"51";"133"
"26,322";"50";"133"
"26,356";"51";"134"
"26,389";"49";"128"
"26,422";"49";"129"
"26,456";"49";"129"
"26,489";"48";"129"
"26,522";"48";"130"
"26,556";"48";"130"
"26,589";"48";"130"
"26,622";"48";"129"
"26,656";"48";"129"
"26,689";"47";"129"
"26,722";"47";"129"
"26,756";"47";"130"
"26,789";"47";"130"
"26,822";"47";"130"
"26,856";"47";"131"
"26,889";"46";"131"
"26,922";"46";"132"
"26,956";"46";"132"
"26,989";"46";"133"
"27,022";"45";"134"
"27,056";"45";"135"
"27,089";"45";"136"
"27,122";"45";"137"
"27,155";"45";"138"
"27,189";"45";"139"
"27,222";"44";"140"
"27,255";"44";"141"
"27,289";"43";"142"
"27,322";"43";"143"
"27,355";"42";"144"
"27,389";"42";"145"
"27,422";"41";"146"
"27,455";"41";"147"
"27,489";"40";"148"
"27,522";"40";"148"
"27,555";"39";"149"
"27,589";"39";"150"
"27,622";"38";"150"
"27,655";"37";"151"
"27,689";"37";"151"
"27,722";"36";"152"
"27,755";"36";"152"
"27,789";"35";"152"
"27,822";"35";"152"
"27,855";"35";"152"
"27,889";"35";"152"
"27,922";"35";"152"
"27,955";"36";"153"
"27,988";"36";"153"
"28,022";"36";"153"
"28,055";"36";"153"
"28,088";"36";"153"
"28,122";"36";"153"
"28,155";"36";"154"
"28,188";"36";"154"
"28,222";"35";"155"
"28,255";"35";"156"
"28,288";"34";"157"
"28,322";"34";"158"
"28,355";"34";"159"
"28,388";"34";"161"
"28,422";"34";"161"
"28,455";"33";"162"
"28,488";"33";"163"
"28,522";"32";"163"
"28,555";"32";"164"
"28,588";"31";"164"
"28,622";"30";"164"
"28,655";"29";"164"
"28,688";"29";"163"
"28,721";"29";"163"
"28,755";"28";"163"
"28,788";"28";"163"
"28,821";"27";"163"
"28,855";"27";"163"
"28,888";"27";"163"
"28,921";"26";"163"
"28,955";"26";"163"
"28,988";"26";"163"
"29,021";"25";"163"
"29,055";"25";"163"
"29,088";"25";"163"
"29,121";"25";"163"
"29,155";"25";"163"
"29,188";"25";"163"
"29,221";"25";"163"
"29,255";"25";"163"
"29,288";"26";"163"
"29,321";"26";"163"
"29,355";"26";"163"
"29,388";"27";"163"
"29,421";"28";"163"
"29,455";"29";"163"
"29,488";"30";"163"
"29,521";"31";"163"
"29,554";"33";"163"
"29,588";"33";"163"
"29,621";"36";"163"
"29,654";"37";"163"
"29,688";"39";"162"
"29,721";"40";"162"
"29,754";"40";"162"
"29,788";"41";"162"
"29,821";"41";"162"
"29,854";"40";"162"
"29,888";"40";"162"
"29,921";"40";"162"
"29,954";"39";"162"
"29,988";"38";"162"
"30,021";"38";"162"
"30,054";"37";"162"
"30,088";"36";"162"
"30,121";"35";"163"
"30,154";"34";"163"
"30,188";"33";"163"
"30,221";"32";"164"
"30,254";"31";"164"
"30,288";"31";"165"
"30,321";"30";"165"
"30,354";"30";"166"
"30,387";"29";"166"
"30,421";"29";"167"
"30,454";"29";"167"
"30,487";"28";"167"
"30,521";"28";"168"
"30,554";"28";"168"
"30,587";"27";"168"
"30,621";"27";"169"
"30,654";"27";"169"
"30,687";"27";"169"
"30,721";"27";"169"
"30,754";"27";"170"
"30,787";"27";"170"
"30,821";"26";"170"
"30,854";"26";"170"
"30,887";"26";"170"
"30,921";"26";"170"
"30,954";"27";"170"
"30,987";"27";"170"
"31,021";"27";"171"
"31,054";"27";"171"
"31,087";"27";"171"
"31,121";"27";"171"
"31,154";"27";"171"
"31,187";"28";"171"
"31,22";"28";"170"
"31,254";"28";"169"
"31,287";"28";"169"
"31,32";"28";"168"
"31,354";"29";"168"
"31,387";"29";"168"
"31,42";"29";"168"
"31,454";"29";"168"
